iter	MultiClass
0	2.057021079
1	1.921573405
2	1.89166830333	1.89417824944	1.82816139255	1.80019546	66	1.76152027	77	1.72116228	88	1.69326219	99	1.667069666110	1.646457566111	1.600389897112	1.572460068113	1.533359219
14	1.507796246
15	1.473250592
16	1.45531998
17	1.424164635
18	1.407382207
19	1.390853396
20	1.374090542
21	1.356794856
22	1.331002732223	1.311728566224	1.293188019
25	1.277404489
26	1.258473846
27	1.23682211
28	1.217464686
29	1.203821653
30	1.184473681
31	1.170656726
32	1.161407623
33	1.14673967
34	1.130730703
35	1.120281162
36	1.110201569
37	1.093769504
38	1.084502001
39	1.05734696
40	1.040554986
41	1.025303028
42	1.011398965
43	0.9851361823
44	0.973500027
45	0.9626206869
46	0.9473139321
47	0.936588375
48	0.9286934606
49	0.9200107842
50	0.909294407
51	0.8996239021
52	0.8903094322
53	0.875741056
54	0.8667049517
55	0.8587087715
56	0.8482528252
57	0.8412537513
58	0.8335469918
59	0.8218575515
60	0.8119617104
61	0.8029040189
62	0.7930941172
63	0.7863707795
64	0.7771540323
65	0.7689357484
66	0.7619419437
67	0.7543410495
68	0.7469144331
69	0.738058334
70	0.7302642573
71	0.7201602068
72	0.7117154316
73	0.7021866852
74	0.6936998308
75	0.6868015302
76	0.6783627821
77	0.6724209321
78	0.663626686
79	0.6574053943
80	0.6477532674
81	0.6401933677
82	0.6335807137
83	0.6282938162
84	0.6205104239
85	0.6116195131
86	0.6048263977
87	0.5942811999
88	0.5885305107
89	0.5831447897
90	0.5755814514
91	0.570090495
92	0.5628123982
93	0.5569472201
94	0.5478782435
95	0.542120414
96	0.5340805035
97	0.5274023974
98	0.5239871182
99	0.5173534805
100	0.5112847115
101	0.507426132
102	0.5029691135
103	0.4963863399
104	0.4876889518
105	0.4832132286
106	0.479331813
107	0.4734205373
108	0.4681151025
109	0.4646514496
110	0.4594161515
111	0.4552633927
112	0.4494574524
113	0.445592995
114	0.4417039918
115	0.4368986645
116	0.4332061724
117	0.4288973232
118	0.4233091592
119	0.4208210147
120	0.4159127537
121	0.411681276
122	0.4080225809
123	0.4047159888
124	0.4008221159
125	0.3975680054
126	0.3932771974
127	0.3901201462
128	0.3865076896
129	0.3827011792
130	0.3796130675
131	0.3764729863
132	0.3734184486
133	0.3701587936
134	0.3667151235
135	0.3628799509
136	0.3596143418
137	0.356591492
138	0.3529547176
139	0.3504579611
140	0.3480874368
141	0.344890084
142	0.3423545459
143	0.3403110104
144	0.3367247112
145	0.3338890585
146	0.3316365572
147	0.3290191053
148	0.3251960851
149	0.3221091604
150	0.3199244075
151	0.3172616547
152	0.3149663313
153	0.313173875
154	0.3104125641
155	0.306951394
156	0.3042908165
157	0.302447311
158	0.2998751628
159	0.2975832935
160	0.2952207581
161	0.2928452684
162	0.2909579921
163	0.2890907063
164	0.2868213708
165	0.2848486317
166	0.2828243948
167	0.2810356141
168	0.279394024
169	0.2772897076
170	0.2757114426
171	0.2732300772
172	0.2714539867
173	0.2696510324
174	0.2675832404
175	0.2651663016
176	0.2632597071
177	0.261891186
178	0.2601701883
179	0.2586081856
180	0.2569018166
181	0.2557118968
182	0.2536231635
183	0.2522444354
184	0.2506824234
185	0.2485915871
186	0.2471484639
187	0.2451289001
188	0.2431948088
189	0.2417947631
190	0.2397922627
191	0.2383394209
192	0.2371766079
193	0.2357948806
194	0.2337346621
195	0.2320804601
196	0.2311458407
197	0.2298620454
198	0.2281049429
199	0.2266917211
200	0.2253926401
201	0.2236637917
202	0.221991478
203	0.2207223419
204	0.2194198865
205	0.218299928
206	0.2169286957
207	0.2156022322
208	0.2142751672
209	0.2127525719
210	0.2109356689
211	0.2098247702
212	0.2088718802
213	0.2076494093
214	0.2066487401
215	0.205368219
216	0.2042774828
217	0.2032920068
218	0.2025422926
219	0.2017091069
220	0.2005812969
221	0.1991881073
222	0.1981532354
223	0.1968363675
224	0.195854232
225	0.1946198983
226	0.1938024537
227	0.192357718
228	0.1913340402
229	0.1901135984
230	0.1891112869
231	0.1882989792
232	0.1874296715
233	0.1863730955
234	0.1850477522
235	0.1836498436
236	0.1823978224
237	0.1814382382
238	0238	0.177605239	0.1790592492
240	0240	0.176321241	0241	0.175535242	0242	0.17472243	0.243	0.1739244	0.1244	0.1728245	0.1245	0.1717246	0.1246	0.1707247	0.1247	0.1699248	0.1248	0.1691249	0.1249	0.1684250	0.1250	0.1676251	0.1251	0.1667252	0.1252	0.1660253	0.1253	0.1651254	0.1254	0.1644255	0.1255	0.1636256	0.1640598775
257	0.1631120723
258	0.1624918201
259	0.1618099906
260	0.1610353055
261	0.1602101555
262	0.1592952611
263	0.1586532997
264	0.1579832591
265	0.1574092478
266	0.1567874399
267	0.1560955862
268	0.1551085053
269	0.154275186
270	0.1536191251
271	271	0.1512631272	0.152389591
273	0.1517344148
274	0274	0.149157275	0275	0.148278276	0276	0.14751277	0.277	0.14698278	0.278	0.14646279	0279	0.145799280	0280	0.145268281	0281	0.144470282	0.1458490232
283	0.1449928644
284	0284	0.142564285	0.1437709887
286	0.1430493147
287	0.1424238974
288	0.141713262
289	0289	0.139446290	0290	0.138778291	0291	0.138136292	0292	0.1376293	0.1293	0.137294	0.13294	0.136295	0.1376522981
296	0.1371395208
297	0.1364965364
298	0.1356370494
299	0.1348420262
300	0.1343630789
301	0.1337128332
302	0.1331891883
303	0.1328119578
304	0.1320676949
305	0.1313170623
306	0.1307267105
307	0.1300748231
308	0.1294523091
309	0.1288008696
310	0.1281928284
311	0.1276386334
312	0.1270683537
313	0.1266521181
314	0.1261025457
315	0.1256499238
316	0.1250368303
317	0.1244476891
318	0.1240121166
319	0.1234080479
320	0.1229481629
321	0.1226015928
322	0.1219560835
323	0.1212649198
324	0.1209841676
325	0.1205161423
326	0.1200844596
327	0.1196281104
328	0.1190501247
329	0.118542583
330	0.1181612135
331	0.1177439271
332	0.1170856538
333	0.116608337
334	0.1162008307
335	0.115594099
336	0.1150861336
337	0.1145611221
338	0.1141306657
339	0.1136851266
340	0.1132466723
341	0.1129118715
342	0.1124865407
343	0.112027578
344	0.1115603415
345	0.1112726686
346	0.1109988719
347	0.1104258038
348	0.1100075157
349	0.10948274
350	0.1090741519
351	0.108678529
352	0.1082462883
353	0.1077842237
354	0.1073517322
355	0.1070939979
356	0.1068162548
357	0.1063370539
358	0.1059186642
359	0.1055368219
360	0.10512684
361	0.104658358
362	0.1044300245
363	0.104025438
364	0.1036282282
365	0.1032607255
366	0.1028489859
367	0.1025267956
368	0.1022163371
369	0.1018472412
370	0.1014520754
371	0.1010676126
372	0.1006744253
373	0.1003372382
374	0.1000286855
375	0.09964108471
376	0.0994517636
377	0.09909898244
378	0.09878462658
379	0.09851443589
380	0.09824523743
381	0.09790034345
382	0.09750520647
383	0.09715471668
384	0.09679753791
385	0.09645754713
386	0.09606422708
387	0.09576471386
388	0.0954730522
389	0.09514328584
390	0.09482792878
391	0.09455544122
392	0.09433255536
393	0.09406743508
394	0.09368505175
395	0.09317632835
396	0.09296202731
397	0.09269079747
398	0.09242475658
399	0.0921268141
400	0.09188402772
401	0.09157912603
402	0.09131672157
403	0.0910705712
404	0.09080459662
405	0.0905500475
406	0.09027586027
407	0.08993991137
408	0.08966884159
409	0.0894544551
410	0.08913738529
411	0.08881661507
412	0.08855015228
413	0.08824177613
414	0.08802236669
415	0.08777627519
416	0.0874148321
417	0.08716129277
418	0.08688834086
419	0.08666298758
420	0.08643866286
421	0.08614609834
422	0.08585921335
423	0.08560318076
424	0.08536737109
425	0.08503254066
426	0.08482560657
427	0.08458475237
428	0.08429948297
429	0.08402764293
430	0.08371565072
431	0.08351204349
432	0.08331540312
433	0.08307257964
434	0.08277824804
435	0.08260919164
436	0.08234540447
437	0.08204914752
438	0.08179529708
439	0.08155286138
440	0.08129717265
441	0.08107802863
442	0.08080127296
443	0.08058066159
444	0.08034584098
445	0.08011791973
446	0.07989209592
447	0.07971382002
448	0.07952268704
449	0.07932663945
450	0.07903577638
451	0.07879937042
452	0.07856387486
453	0.07835104808
454	0.07811746919
455	0.07795247022
456	0.07774708894
