iter	Passed	Remaining
0	168	168465
1	187	93387
2	196	65299
3	195	48803
4	217	43337
5	231	38302
6	238	33794
7	249	30933
8	258	28458
9	268	26552
10	281	25293
11	291	24010
12	303	23005
13	314	22183
14	326	21412
15	338	20808
16	353	20424
17	367	20047
18	378	19547
19	390	19146
20	400	18652
21	410	18243
22	420	17857
23	433	17611
24	445	17365
25	456	17091
26	466	16809
27	478	16603
28	491	16458
29	501	16212
30	512	16015
31	522	15817
32	538	15773
33	548	15583
34	559	15437
35	569	15259
36	579	15081
37	590	14952
38	600	14790
39	610	14651
40	621	14548
41	634	14470
42	644	14348
43	655	14252
44	668	14179
45	677	14046
46	686	13921
47	696	13815
48	706	13710
49	718	13654
50	732	13624
51	744	13578
52	756	13517
53	772	13532
54	784	13478
55	791	13344
56	802	13271
57	814	13220
58	824	13153
59	836	13107
60	849	13071
61	861	13033
62	872	12973
63	882	12909
64	896	12895
65	907	12836
66	916	12768
67	930	12749
68	940	12687
69	951	12637
70	960	12573
71	973	12552
72	984	12501
73	995	12462
74	1004	12392
75	1015	12345
76	1026	12304
77	1038	12270
78	1047	12216
79	1057	12160
80	1068	12120
81	1078	12076
82	1091	12055
83	1102	12027
84	1113	11986
85	1126	11975
86	1135	11918
87	1148	11899
88	1159	11872
89	1168	11817
90	1178	11768
91	1191	11754
92	1205	11756
93	1221	11768
94	1234	11760
95	1245	11730
96	1258	11716
97	1269	11683
98	1284	11689
99	1295	11659
100	1308	11643
101	1318	11608
102	1330	11589
103	1345	11593
104	1359	11584
105	1373	11585
106	1389	11593
107	1403	11594
108	1414	11560
109	1430	11570
110	1441	11547
111	1451	11511
112	1461	11471
113	1473	11452
114	1483	11413
115	1492	11371
116	1501	11334
117	1512	11302
118	1522	11273
119	1533	11244
120	1541	11198
121	1555	11196
122	1566	11168
123	1575	11128
124	1588	11121
125	1601	11111
126	1611	11080
127	1625	11071
128	1635	11042
129	1647	11024
130	1657	10998
131	1667	10965
132	1677	10938
133	1691	10929
134	1703	10913
135	1714	10889
136	1723	10859
137	1734	10836
138	1743	10799
139	1753	10770
140	1763	10742
141	1772	10711
142	1782	10680
143	1791	10650
144	1802	10626
145	1814	10612
146	1826	10599
147	1839	10588
148	1848	10559
149	1859	10538
150	1869	10510
151	1879	10484
152	1889	10459
153	1898	10429
154	1908	10403
155	1920	10390
156	1934	10387
157	1942	10351
158	1952	10326
159	1965	10316
160	1977	10302
161	1985	10269
162	1997	10258
163	2010	10247
164	2020	10224
165	2030	10200
166	2039	10170
167	2047	10139
168	2058	10122
169	2068	10100
170	2079	10083
171	2090	10065
172	2099	10037
173	2110	10016
174	2121	10001
175	2133	9990
176	2143	9964
177	2152	9941
178	2162	9920
179	2170	9889
180	2181	9871
181	2192	9852
182	2203	9837
183	2215	9825
184	2226	9808
185	2236	9788
186	2247	9769
187	2256	9747
188	2268	9733
189	2277	9711
190	2289	9698
191	2298	9674
192	2308	9650
193	2319	9634
194	2330	9620
195	2342	9607
196	2352	9587
197	2366	9586
198	2378	9573
199	2389	9559
200	2400	9541
201	2411	9528
202	2423	9514
203	2434	9501
204	2447	9492
205	2462	9491
206	2474	9479
207	2485	9463
208	2500	9465
209	2512	9450
210	2525	9442
211	2538	9434
212	2549	9419
213	2559	9399
214	2571	9388
215	2581	9369
216	2593	9357
217	2606	9348
218	2619	9340
219	2629	9324
220	2640	9306
221	2651	9290
22223	2661	92122224	2673	92022225	2687	92022226	2700	91922227	2712	91822228	2721	91622229	2733	91522230	2744	91323231	2755	91223232	2763	90923233	2774	90823234	2785	90623235	2796	90523236	2808	90423237	2820	90223238	2833	9021
239	2842	90023240	2857	8998
241	2871	8994
242	2883	8981
243	2893	8963
244	2905	8953
245	2917	8941
246	2927	8924
247	2938	8910
248	2947	8890
249	2958	8876
250	2970	8864
251	2980	8847
252	2990	8829
253	2999	8808
254	3010	8796
255	3020	8778
256	3031	87625257	3041	87425258	3054	87325259	3064	87225260	3071	86926261	3081	86826262	3092	86626263	3101	86426264	3112	86326265	3125	86226266	3136	86126267	3145	85926268	3155	85726269	3167	85626270	3177	85427271	3193	8546
272	3204	85327273	3215	85127274	3230	8517
275	3242	8506
276	3255	8496
277	3265	8481
278	3275	8464
279	3285	8448
280	3295	8431
281	3303	8411
282	3312	83928283	3324	83828284	3335	8367
285	3344	83528286	3354	83328287	3370	83328288	3381	83228289	3394	8311
290	3407	8301
291	3415	8282
292	3427	8270
293	3437	8255
294	3448	8241
295	3456	82229296	3467	82029297	3477	81929298	3487	81729299	3498	81629300	3507	81430301	3516	812301	3529	8157
302	3542	8148
303	3553	8135
304	3563	8120
305	3577	8113
306	3589	8103
307	3599	8088
308	3612	8077
309	3623	8064
310	3639	8064
311	3653	8057
312	3665	8045
313	3677	8035
314	3689	8023
315	3701	8011
316	3715	8004
317	3726	7992
318	3742	7989
319	3753	7975
320	3765	7964
321	3778	7956
322	3796	7957
323	3810	7950
324	3822	7939
325	3832	7923
326	3846	7916
327	3859	7907
328	3873	7900
329	3887	7891
330	3900	7883
331	3914	7877
332	3928	7868
333	3942	7861
334	3955	7852
335	3969	7845
336	3979	7829
337	3990	7816
338	4002	7803
339	4011	7786
340	4019	7768
341	4030	7753
342	4042	7742
343	4051	7726
344	4063	7715
345	4072	7697
346	4082	7683
347	4094	7671
348	4104	7656
349	4117	7646
350	4129	7635
351	4140	7622
352	4151	7608
353	4162	7596
354	4172	7581
355	4177	7556
356	4187	7541
357	4212	7553
358	4221	7538
359	4233	7525
360	4245	7514
361	4255	7500
362	4265	7484
363	4278	7475
364	4289	7462
365	4300	7448
366	4311	7437
367	4320	7420
368	4328	7402
369	4339	7388
370	4347	7370
371	4357	7357
372	4368	7343
373	4379	7329
374	4390	7316
375	4400	7302
376	4411	7290
377	4421	7275
378	4432	7262
379	4448	7257
380	4456	7240
381	4466	7225
382	4478	7215
383	4489	7201
384	4501	7190
385	4514	7180
386	4525	7168
387	4535	7153
388	4545	7140
389	4556	7126
390	4566	7112
391	4574	7095
392	4585	7082
393	4595	7068
394	4606	7055
395	4617	7043
396	4628	7030
397	4642	7021
398	4655	7011
399	4664	6996
400	4673	6980
401	4682	6965
402	4693	6953
403	4704	6939
404	4716	6928
405	4728	6918
406	4740	6907
407	4752	6896
408	4763	6883
409	4775	6871
410	4787	6860
411	4799	6850
412	4811	6839
413	4825	6829
414	4837	6818
415	4848	6806
416	4863	6799
417	4871	6783
418	4880	6767
419	4889	6751
420	4901	6741
421	4912	6728
422	4922	6714
423	4933	6702
424	4943	6688
425	4955	6677
426	4964	6662
427	4981	6657
428	4997	6652
429	5017	6651
430	5034	6646
431	5046	6635
432	5064	6632
433	5079	6624
434	5091	6612
435	5106	6605
436	5121	6598
437	5139	6594
438	5154	6587
439	5174	6586
440	5188	6577
441	5200	6565
442	5214	6556
443	5228	6547
444	5240	6536
445	5252	6524
446	5263	6511
447	5276	6501
448	5287	6488
449	5298	6476
450	5310	6464
451	5320	6450
452	5332	6438
453	5343	6426
454	5354	6413
455	5364	6399
456	5376	6388
457	5386	6374
458	5396	6360
459	5406	6347
460	5418	6335
461	5427	6320
462	5437	6306
463	5447	6292
464	5455	6276
465	5467	6264
466	5479	6253
467	5490	6240
468	5499	6226
469	5509	6212
470	5519	6199
471	5532	6188
472	5542	6175
473	5550	6159
474	5561	6146
475	5570	6132
476	5580	6118
477	5590	6105
478	5600	6091
479	5609	6076
480	5622	6066
481	5635	6056
482	5647	6045
483	5656	6030
484	5667	6018
485	5683	6010
486	5696	6000
487	5707	5988
488	5719	5976
489	5731	5965
490	5741	5951
491	5750	5937
492	5760	5924
493	5770	5911
494	5785	5902
495	5795	5888
496	5805	5875
497	5815	5862
