iter	MultiClass
0	2.057280829
1	2.013229745
2	1.91449654233	1.89326316644	1.8295026075	1.7994069
6	1.755935586
7	1.720774932
8	1.694881666
9	1.663914227
1010	1.6254325111	1.597041059
12	1.562124238
113	1.549261827114	1.529862374115	1.51441678816	1.480669861
17	1.44205098
18	1.408705997
19	1.395015159
20	1.377614681221	1.338939211222	1.324709232223	1.300312177224	1.286764961225	1.272286679226	1.259042158227	1.243590501228	1.2233717092229	1.20598903330	1.1965096873331	1.173404132332	1.157578733	33	1.139105634334	1.120455335	35	1.104362036	36	1.087121037	37	1.067513238	38	1.053375839	39	1.034480440	1.045991742
41	41	1.013093142	1.022207132
43	1.014089636
44	1.005315563
45	0.9879383307
46	0.9774352346
47	0.9650868149
48	0.9572189059
49	0.9489585356
50	0.50	0.92072451	0.9272366766
52	0.9178745463
53	0.9085825914
54	0.8982379095555	0.8905303745656	0.8816313162
57	0.874457266
58	0.8652980254
59	0.8480725902660	0.8430110722
61	0.831410586
6262	0.79309411763	0.8157244692
64	0.8056799735
65	0.7991189803
6666	0.7619419436767	0.7543410496868	0.7469144336969	0.738058334770	0.7302642573771	0.7201602068772	0.7117154316773	0.7021866852
74	0.6936998308
75	0.6868015302
76	0.6783627821
77	0.6724209321
78	0.663626686
79	0.6574053943
80	0.80	0.65379481	0.81	0.64796882	0.82	0.64105883	0.83	0.63489884	084	0.627991885	085	0.621848886	086	0.613640887	087	0.608087888	088	0.597819289	089	0.59152383
90	0.5843120424
91	0.5742888168
92	0.5691191111
93	0.5621006476
94	0.5533029756
95	0.5466721688
96	0.5396313392
97	0.5353087378
98	0.5300152981
99	0.5249664561
100	0.5189308101	101	0.5128711102	102	0.507239103	0103	0.501481104	0104	0.497124105	0105	0.491894106	0106	0.48664107	0107	0.4800347964
108	0.475112109	0109	0.469911110	0110	0.465309111	0111	0.460673112	0112	0.453496113	0113	0.44908114	0.114	0.44455115	0.115	0.44048116	0.116	0.43647117	0.117	0.43219118	0.4305028628
119	0.4262571794
120	0.4220162776
121	0.417600912
122	0.41403818041123	0.40975282041124	0.40653621511125	0.40306599612126	0.39931777312127	0.39557018212128	0.3920582281129	0.389268821
130	0.3870337912
131	0.3842622395
132	0.3798645513
133	0.3771462085
134	0.3729930696
135	0.3685996821
136	0.3653669269
137	0.3623670492
138	0.3612997101
139	0.3571023491140	0.3543096254141	0.3527472101
1142	0.34817011071143	0.34575328581144	0.34269101181145	0.33996815261146	0.33719020381147	0.33465286461148	0.33175589271149	0.32949985871150	0.32703741281151	0.3245152075
152	0.32191122941153	0.3195903226
154	0.3176955872
155	0.3159351201
156	0.314175452
157	0.3120034651
158	0.309398243
159	0.3070769251
160	0.3050016463
161	0.302870592
162	0.3006958815
163	0.2987346436
164	0.2970158101
165	0.2956036999
166	0.2934763609
167	0.2917085027
168	0.2904446094
169	0.2891599053
170	0.2868271834
171	0.2852176382
172	0.2834917034
173	0.2816282574
174	0.2798111811
175	0.2779974145
176	0.2763323583
177	0.27433997561178	0.27291160421179	0.27068958121180	0.26915984411181	0.26770119731182	0.266253039
183	0.2647981001
184	0.2629595915
185	0.2610963751
186	0.2595737877
187	0.2575233179
188	0.256276007
1189	0.24179476311190	0.23979226271191	0.23833942091192	0.23717660791193	0.23579488061194	0.23373466211195	0.23208046011196	0.23114584071197	0.22986204541198	0.22810494291199	0.2266917211200	0.2372380466
201	0.2361159912
202	0.2349050408
203	0.2333378387
204	0.231805007
205	0.2306517685
206	0.2291004719
207	0.2282244812
208	0.2266784638
209	0.2253408053
210	0.2241823048
211	0.2233468293
212	0.2217204913
213	0.2206451626
214	0.219151982
215	0.2177238556
216	0.21638982
217	0.2151614743
218	0.2137101921
219	0.2123817233
220	0.2111374555
221	0.2100845137
222	0.2091153777
223	0.2084621313
