iter	Passed	Remaining
0	348	347810
1	360	179946
2	371	123430
3	382	95251
4	392	78026
5	402	66635
6	412	58472
7	423	52548
8	434	47855
9	444	44002
10	454	40861
11	463	38158
12	475	36135
13	486	34283
14	498	32729
15	508	31270
16	519	30016
17	529	28867
18	537	27736
19	549	26903
20	559	26096
21	568	25289
22	578	24558
23	587	23880
24	597	23301
25	607	22741
26	617	22241
27	628	21821
28	638	21389
29	647	20929
30	662	20698
31	674	20412
32	685	20101
33	697	19821
34	712	19656
35	730	19569
36	744	19388
37	767	19421
38	787	19395
39	799	19199
40	820	19182
41	843	19246
42	868	19334
43	885	19231
44	898	19065
45	915	18995
46	926	18794
47	941	18680
48	955	18540
49	971	18460
50	983	18298
51	1005	18331552	1022	18270553	1039	18208554	1059	18205555	1080	18205556	1100	18206
57	1116	18139
58	1127	17979559	1140	17866660	1160	17865661	1177	1780962	1187	17665
663	1202	17596664	1219	17536665	1234	1746666	1247	17376667	1267	17365
68	1281	17286
69	1295	17206
70	1310	17153
71	1322	17049772	1339	17003
73	1357	16989
74	1374	16954
75	1390	16909
76	1409	16899
77	1423	16826
78	1435	16736
79	1447	16644
880	1457	16532881	1472	16482882	1480	16368883	1496	16318884	1510	16268885	1523	16196886	1535	16118887	1552	16088888	1570	16077889	1588	16064
90	1607	16053
91	1623	16024
92	1639	15994
93	1657	15974
94	1670	15908
95	1678	15809
96	1691	15742
97	1700	15652
98	1715	15611
99	1724	15522
100	1731	154141101	1740	153241102	1751	152551103	1760	151691104	1772	151121105	1783	150371106	1793	149651107	1802	14891
108	1813	148211109	1822	147431110	1832	146761111	1840	145941112	1852	145441113	1864	144931114	1875	144361115	1886	143731116	1895	143051117	1904	1423118	1915	14179
119	1927	14135
120	1938	14078
121	1948	14023
122	1962	13990
123	1972	13934
124	1983	13886
125	1993	13828
126	2004	13781
127	2015	13730
128	2028	13693
129	2041	13664
130	2049	13597
131	2060	13549
132	2069	13493
133	2080	13442
13134	2093	134113135	2104	133713136	2114	133213137	2125	1327138	2133	13214
13139	2145	131814140	2154	1312141	2163	13071
14142	2174	130314143	2185	129814144	2193	129314145	2203	128914146	2216	128614147	2226	128114148	2237	127811149	2247	127311150	2258	126911151	2271	126741152	2282	126311153	2293	125981154	2306	12571
155	2316	12535
156	2330	12514
157	2343	12486
158	2354	12455
159	2362	12402
160	2373	12368
161	2382	123241162	2392	122816163	2402	122451164	2415	122221165	2426	12191
166	2436	121551167	2448	121271168	2461	121021169	2472	120701170	2482	120321171	2495	12014
172	2504	119721173	2514	119381174	2526	119111175	2538	118841176	2549	118551177	2558	118131178	2569	117841179	2579	117501180	2588	117131181	2597	116761182	2608	116441183	2618	116131184	2629	115831185	2641	115581186	2649	115191187	2659	114861188	2669	11456189	2676	11412
190	2688	11387
191	2699	11359
192	2711	11336
193	2720	11301
194	2733	11282
195	2744	11256
196	2753	11221
197	2761	11186
198	2771	11153
199	2779	11117
2200	2795	111112201	2806	110852202	2817	110612203	2827	110332204	2837	110052205	2848	109772206	2861	109632207	2870	109312208	2880	109022209	2891	108792210	2904	108602211	2914	108342212	2927	108152213	2937	107882214	2947	107622215	2958	107392216	2969	107132217	2980	106922218	2989	106602219	2999	106342220	3010	106112221	3019	105832222	3031	105622223	3045	105512224	3055	105262225	3064	104952226	3074	104692227	3085	104472228	3096	10424
229	3109	10409
230	3117	10378
231	3128	10355
232	3139	10333
233	3149	10311
234	3165	10303
235	3175	10279
236	3186	10257
237	3198	10241
238	3210	10222
239	3223	10208
240	3234	10185
241	3244	10162
242	3253	10134
243	3262	10109
244	3272	10084
245	3284	10066
246	3292	10035
247	3303	10017
248	3314	9996
249	3326	9979
250	3338	9961
251	3350	9944
252	3366	9938
253	3376	9915
254	3387	9896
255	3399	9880
256	3410	9860
257	3424	9849
258	3435	9827
259	3452	9825
260	3473	9835
261	3492	9838
262	3507	9829
263	3520	9815
264	3531	9793
265	3542	9774
266	3553	9755
267	3562	9731
268	3570	9702
269	3580	9681
270	3589	9655
271	3599	9635
272	3609	9613
273	3621	9595
274	3632	9576
275	3645	9562
276	3654	9537
277	3665	9518
278	3677	9503
279	3689	9486
280	3698	9463
281	3710	9446
282	3721	9428
283	3733	9412
284	3741	9387
285	3751	9366
286	3762	9348
287	3772	9326
288	3783	9309
289	3793	9286
290	3804	9270
291	3817	9256
292	3828	9238
293	3840	9221
294	3851	9204
295	3862	9186
296	3874	9171
297	3886	9154
298	3894	9130
299	3906	9116
300	3918	9099
301	3928	9079
302	3938	9059
303	3951	9045
304	3964	9033
305	3972	9009
306	3984	8993
307	3995	8975
308	4007	8962
309	4020	8948
310	4031	8930
311	4041	8911
312	4049	8889
313	4062	8874
314	4071	8854
315	4081	8835
316	4093	8820
317	4106	8806
318	4115	8785
319	4126	8768
320	4135	8747
321	4146	8730
322	4157	8714
323	4169	8699
324	4183	8689
325	4191	8666
326	4202	8649
327	4216	8639
328	4229	8626
329	4238	8605
330	4248	8587
331	4258	8568
332	4269	8551
333	4280	8535
334	4290	8517
335	4302	8502
336	4312	8484
337	4322	8466
338	4334	8451
339	4347	8440
340	4357	8421
341	4365	8399
342	4376	8383
343	4386	8365
344	4399	8351
345	4408	8333
346	4418	8315
347	4428	8297
348	4439	8281
349	4450	8264
350	4461	8248
351	4471	8232
352	4481	8213
353	4491	8196
354	4502	8180
355	4515	8168
356	4525	8150
357	4534	8132
358	4546	8116
359	4557	8102
360	4565	8081
361	4575	8063
362	4583	8043
363	4594	8028
364	4603	8009
365	4615	7995
366	4626	7979
367	4634	7959
368	4646	7946
369	4656	7928
370	4670	7919
371	4682	7904
372	4695	7892
373	4704	7874
374	4712	7854
375	4723	7838
376	4734	7823
377	4746	7810
378	4753	7789
379	4763	7771
380	4775	7759
381	4787	7745
382	4795	7725
383	4805	7708
384	4816	7694
385	4827	7678
386	4837	7661
387	4846	7645
388	4856	7627
389	4865	7609
390	4877	7597
391	4887	7580
392	4895	7561
393	4907	7548
394	4917	7531
395	4926	7514
396	4936	7498
397	4946	7481
398	4956	7465
399	4967	7451
400	4976	7433
401	4988	7420
402	5001	7409
403	5010	7391
404	5019	7374
405	5030	7360
406	5041	7345
407	5051	7329
408	5062	7315
409	5075	7303
410	5084	7286
411	5094	7270
412	5106	7257
413	5117	7243
414	5128	7229
415	5140	7216
416	5151	7202
417	5161	7186
418	5170	7169
419	5179	7152
420	5190	7139
421	5199	7121
422	5208	7104
423	5217	7087
424	5227	7072
425	5238	7057
426	5248	7043
427	5257	7025
428	5269	7013
429	5279	6998
430	5294	6990
431	5309	6981
432	5324	6972
433	5336	6959
434	5350	6949
435	5360	6933
436	5373	6923
437	5387	6912
438	5398	6898
439	5410	6885
440	5421	6872
441	5432	6858
442	5444	6846
443	5456	6832
444	5468	6820
445	5477	6803
446	5486	6788
447	5497	6773
448	5505	6755
449	5515	6740
450	5527	6728
451	5539	6716
452	5552	6705
453	5562	6689
454	5571	6673
455	5583	6661
456	5594	6647
457	5609	6638
458	5622	6626
459	5634	6614
460	5644	6599
461	5655	6585
462	5664	6570
463	5674	6555
464	5688	6544
465	5699	6530
466	5711	6518
467	5719	6501
468	5729	6486
469	5741	6475
470	5756	6465
471	5771	6456
472	5782	6442
473	5793	6428
474	5801	6412
475	5810	6396
476	5824	6385
477	5834	6372
478	5847	6360
479	5856	6344
480	5867	6331
481	5878	6317
482	5889	6303
483	5897	6287
484	5906	6271
485	5915	6256
486	5924	6240
487	5935	6227
488	5945	6213
489	5952	6195
490	5960	6179
491	5972	6166
492	5985	6155
493	5994	6140
494	6001	6123
495	6013	6110
496	6023	6096
497	6035	6083
498	6045	6069
499	6055	6055
500	6066	6042
501	6079	6030
502	6090	6017
503	6100	6003
504	6113	5992
505	6121	5976
506	6132	5963
507	6141	5947
508	6150	5932
509	6161	5920
510	6171	5906
511	6182	5892
512	6194	5880
513	6208	5870
514	6219	5857
515	6230	5844
516	6243	5832
517	6252	5817
518	6264	5805
519	6275	5792
520	6285	5779
521	6296	5765
522	6305	5750
523	6316	5737
524	6325	5722
525	6334	5708
526	6345	5695
527	6354	5680
528	6365	5667
529	6374	5653
530	6384	5639
531	6392	5623
532	6401	5608
533	6410	5594
534	6423	5583
535	6434	5570
536	6443	5555
537	6453	5541
538	6463	5528
539	6474	5515
540	6484	5501
541	6494	5487
542	6501	5471
543	6512	5459
544	6523	5446
545	6533	5432
546	6541	5417
547	6551	5403
548	6559	5388
549	6570	5375
550	6580	5361
551	6591	5349
552	6603	5337
553	6615	5325
554	6625	5312
555	6638	5301
556	6646	5286
557	6656	5272
558	6670	5262
559	6678	5247
560	6692	5236
561	6701	5222
562	6711	5209
563	6722	5196
564	6733	5184
565	6743	5170
566	6756	5159
567	6767	5147
568	6775	5132
569	6787	5120
570	6794	5105
571	6807	5093
572	6817	5080
573	6829	5068
574	6837	5053
575	6848	5041
576	6861	5029
577	6876	5020
578	6885	5006
579	6893	4992
580	6906	4980
581	6919	4970
582	6929	4956
583	6941	4944
584	6952	4932
585	6960	4917
586	6970	4903
587	6980	4891
588	6992	4879
589	7002	4866
590	7014	4854
591	7025	4842
592	7035	4828
593	7041	4813
